GestureType,No,ShE,ShV,LE,SzE,BE,BV,TE,TV,VE,VV,SkE,SkOE
v,6,11.254,6.118,35.428,8662.000,.129,.111,17.000,9.642,703.920,5623.575,0,.000
v,7,10.855,2.282,10.627,60.000,.167,.263,8.000,9.196,706.431,5623.211,0,49.825
v,8,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,0,.000
v,9,4.831,1.437,1.932,555.000,.157,.211,4.000,7.220,703.746,5623.556,0,.000
v,10,4.162,2.752,14.134,1850.386,.168,.162,1.000,5.839,703.912,5623.538,0,.000
x,1,12.009,3.793,24.055,248.875,.180,.464,11.000,9.824,1263.987,10103.417,0,250.586
x,2,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,0,.000
x,3,8.272,3.820,1.716,942.991,.101,.152,9.000,7.042,1263.406,10103.855,0,10.812
x,4,7.173,4.024,68.592,5785.068,.124,.226,59.000,16.422,1263.294,10103.014,0,.000
x,5,11.164,4.730,53.105,6299.964,.150,.357,25.000,9.797,1263.424,10103.313,0,26.784
x,6,7.119,3.167,9.457,2318.514,.145,.358,47.000,13.115,1263.344,10103.704,0,57.459
x,7,11.817,6.061,37.964,7485.324,.129,.192,35.000,9.487,1263.465,10103.848,0,5.000
x,8,15.327,8.439,98.041,11293.576,.195,.441,68.000,22.228,1263.313,10103.565,0,157.112
x,9,13.554,6.082,122.133,11354.771,.159,.305,104.000,24.746,1263.276,10103.729,0,3.746
x,10,16.699,6.495,104.407,9601.976,.231,.630,48.000,17.156,1263.386,10103.858,0,108.062
zig-zag,1,16.515,7.466,67.483,3954.635,.264,.422,277.000,81.795,.405,.382,0,61.600
zig-zag,2,15.615,9.796,23.926,977.968,.238,.426,185.000,54.970,.588,1.878,0,145.023
zig-zag,3,16.053,8.542,88.694,2691.234,.213,.354,73.000,18.370,.538,1.373,0,145.118
zig-zag,4,9.728,2.443,11.156,873.089,.148,.198,205.000,64.466,.541,1.701,0,.000
zig-zag,5,14.413,3.863,36.157,1726.868,.139,.215,148.000,48.602,.521,1.617,0,.000
zig-zag,6,11.795,4.365,9.164,7101.789,.169,.333,156.000,48.410,.536,1.715,0,11.289
zig-zag,7,8.159,2.961,12.048,3212.211,.194,.333,36.000,13.547,.370,1.208,0,4.857
zig-zag,8,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,0,.000
zig-zag,9,11.861,5.308,33.608,6324.730,.135,.229,73.000,21.165,.467,1.739,0,.000
zig-zag,10,14.771,4.907,75.088,5291.211,.277,.414,65.000,26.311,.470,1.362,0,26.965
,,,,,,,,,,,,,
